,xxx,HOMO-3/LUMO,HOMO-3/LUMO+1,HOMO-3/LUMO+2,HOMO-3/LUMO+3,HOMO-2/LUMO,HOMO-2/LUMO+1,HOMO-2/LUMO+2,HOMO-2/LUMO+3,HOMO-1/LUMO,HOMO-1/LUMO+1,HOMO-1/LUMO+2,HOMO-1/LUMO+3,HOMO/LUMO,HOMO/LUMO+1,HOMO/LUMO+2,HOMO/LUMO+3,IP,EA
32,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8]([C:9](=[O:10])[O:11][C:12]([H:13])([H:14])[H:15])[C:16]([H:17])([H:18])[H:19])([H:20])[H:21],0.40661965344675055,0.47731204414745765,0.5180969826347316,0.5299854203570067,0.3928192480440088,0.4632490246000348,0.5041973409534164,0.5161686387432732,0.38019768370107043,0.45068459319510634,0.49142859375381953,0.5033129259134372,0.14054655197714772,0.21107393815576753,0.25193392093412653,0.26373242045883594,0.34945899950116177,-0.0020512883589286824
33,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[C:11]([H:12])([H:13])[H:14])[H:15])(\[H:16])[C:17]([H:18])([H:19])[H:20],0.3995605817778679,0.4750506688653401,0.49611855887313094,0.5103213297224516,0.3879353620166288,0.4631636318735743,0.48438916458891795,0.4986579325758898,0.36193478517807165,0.4375708115380303,0.4586437444690946,0.47276017041431206,0.07045386196235971,0.14606979938768866,0.16679560488501846,0.1810274807449248,0.32958419216707474,0.01058170180362319
34,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[C:11]([H:12])([H:13])[H:14])[c:15]1[c:16]([H:17])[c:18]([H:19])[c:20]([H:21])[c:22]([H:23])[c:24]1[H:25])(\[H:26])[Br:27],0.36084898696123613,0.38636934632915404,0.39888475922752,0.41076089873067173,0.34545321536449813,0.3710328412468185,0.38379424729618244,0.39561465864276374,0.33521538415704477,0.36072361217026305,0.3730536764947733,0.3848843344877302,0.19851754465201848,0.22356964534636709,0.23593606351490806,0.24836889925036337,0.31954207219479536,0.01066794149738732
35,[C:1]([H:2])([H:3])([N+:4](=[O:5])[O-:6])[C:7]([C:8](=[C:9]([O-:10])[N:11]([C:12]([H:13])([H:14])[H:15])[H:16])[C:17]([H:18])([H:19])[H:20])([Cl:21])[c:22]1[c:23]([H:24])[c:25]([H:26])[c:27]([H:28])[c:29]([H:30])[c:31]1[H:32],0.36510732202118257,0.3993624124553554,0.411371108436317,0.45820244899998414,0.34833391024923693,0.38260499631009875,0.3946468820465414,0.44149923924993184,0.34093116358713027,0.37511744877469083,0.38708055172173444,0.433973066503072,0.3080659263526933,0.3424075895282991,0.3539138192424362,0.4010103186182401,0.31296449269971166,-0.004240558465704971
36,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8]([C:9](=[O:10])[N:11]([C:12]([H:13])([H:14])[H:15])[C:16]([H:17])([H:18])[H:19])[Br:20])([Br:21])[Br:22],0.37639036519650626,0.3955834775606455,0.40663379484336054,0.44311343880352955,0.36256774963736166,0.3815683543872024,0.3928775835876384,0.42958123093088185,0.3479063850368316,0.36695704895760056,0.3779152656026502,0.4147837640718711,0.12310907474628423,0.1417233668384182,0.152555737300696,0.1897858981913624,0.3293027075635365,0.012962909321679098
37,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[C:11]([H:12])([H:13])[H:14])[c:15]1[c:16]([H:17])[c:18]([H:19])[c:20]([H:21])[c:22]([H:23])[c:24]1[H:25])(\[Cl:26])[H:27],0.3669377943452445,0.3902000540279601,0.41135815075152343,0.44142911437578214,0.3519005509543608,0.375066881107512,0.39631946518372485,0.4263900917810989,0.3361076431570605,0.35932843618115307,0.38039549341263423,0.41054309478848905,0.11703151457996293,0.13974307558784582,0.1607726026030954,0.19133610472810186,0.3195847690826376,0.012908975735112498
38,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8]([C:9](=[O:10])[C:11]([H:12])([H:13])[C:14]([H:15])([H:16])[H:17])[H:18])([H:19])[H:20],0.4009063103630897,0.4754702270255808,0.5062008431942239,0.5201320046273714,0.386804418652512,0.46098034439265045,0.4920521148872693,0.5060403440193573,0.36378171866143666,0.43820338556731364,0.4690724755808032,0.48300961748283544,0.06613375259262594,0.14056817442597275,0.1712084799790492,0.18515512825820735,0.3391536423621257,0.006911383442837993
39,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[C:11]([H:12])([H:13])[H:14])[C:15]([H:16])([H:17])[H:18])(\[C:19]([H:20])([H:21])[H:22])[c:23]1[c:24]([H:25])[c:26]([H:27])[c:28]([H:29])[c:30]([H:31])[c:32]1[H:33],0.3663852575939946,0.38029664168463895,0.4178666880422209,0.44854787133800933,0.3582794561764898,0.37211154921269884,0.40968095413060707,0.44046733352060274,0.33704884667278384,0.35099140843999543,0.388539185495857,0.419266650638835,0.036166989555146745,0.04989156986605205,0.08735114221446934,0.11801976619236694,0.313076342223972,0.021657290181656363
40,[C:1]([H:2])([H:3])([N+:4](=[O:5])[O-:6])[C:7]([C:8](=[C:9]([O-:10])[C:11]([H:12])([H:13])[H:14])[Br:15])([H:16])[c:17]1[c:18]([H:19])[c:20]([H:21])[c:22]([H:23])[c:24]([H:25])[c:26]1[H:27],0.3728815463605384,0.40115233970088493,0.40396031709468366,0.4140201067417095,0.3609690852295203,0.38923219163870876,0.3920283980101008,0.40212566861101323,0.3470062292233912,0.37501211118953603,0.3774669088868063,0.38776362052970564,0.2894821031222773,0.3178044032843402,0.3200915319677624,0.330689550956928,0.326212749158895,-0.0040135561739401025
41,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[c:11]1[c:12]([H:13])[c:14]([H:15])[c:16]([H:17])[c:18]([H:19])[c:20]1[H:21])[Cl:22])(\[c:23]1[c:24]([H:25])[c:26]([H:27])[c:28]([H:29])[c:30]([H:31])[c:32]1[H:33])[Br:34],0.32430784387399403,0.3257469951033191,0.33286053778777375,0.37734619899654986,0.3252607299935165,0.32679594715837135,0.3338992255303327,0.3782730108212326,0.2995543594107919,0.30107285881495666,0.3079939411262936,0.3527120298565347,-0.00017277106490051208,0.00041869964376187727,0.008116531387906755,0.052348665930148655,0.3378106386192566,0.06643007442934999
